ohitssavanna	fucking john hahaha kennick	0.250 0.250 0.250 0.250	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
sapulpasports	thoughts winning johnson randy	0.250 0.250 0.250 0.250	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
thepolitico	politico democratic poll surveyusa leading surge deeds polls	0.111 0.111 0.111 0.111 0.111 0.111 0.222 0.111	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
unrefined_id	ctrl paper articles	0.333 0.333 0.333	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
christaluv1	finally summer summertime school	0.200 0.400 0.200 0.200	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
cubinator	riley project reminding chola airofina	0.200 0.200 0.200 0.200 0.200	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
dagolion	will meant geowaugh progress working work life harmony feel	0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
denise_sinc	blog post fiddling	0.333 0.333 0.333	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
govzine	oversight finds contracting popular panel posts wartime	0.143 0.143 0.143 0.143 0.143 0.143 0.143	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
harestockwx	wdisplay steady weather data harestock	0.200 0.200 0.200 0.200 0.200	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
ihuntmidgets	middle tomtom fort fuck lauderdale downtown	0.167 0.167 0.167 0.167 0.167 0.167	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
junnibug	thesis viss years	0.333 0.333 0.333	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
kajegrl	appointment goodness feels crap tomorrow doctor seriously	0.143 0.143 0.143 0.143 0.143 0.143 0.143	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
ledinosaur	busy depending youngfaded	0.333 0.333 0.333	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
